Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [C Autoparts],Price [C Autoparts],In stock [C Autoparts],Low stock [C Autoparts],Optimal stock [C Autoparts],Available for sale [OLD A/P],Price [OLD A/P],In stock [OLD A/P],Low stock [OLD A/P],Optimal stock [OLD A/P],Available for sale [Stock - Accessories],Price [Stock - Accessories],In stock [Stock - Accessories],Low stock [Stock - Accessories],Optimal stock [Stock - Accessories],Available for sale [WAREHOUSE],Price [WAREHOUSE],In stock [WAREHOUSE],Low stock [WAREHOUSE],Optimal stock [WAREHOUSE],Available for sale [TIRES],Price [TIRES],In stock [TIRES],Low stock [TIRES],Optimal stock [TIRES],Available for sale [JUNIOR],Price [JUNIOR],In stock [JUNIOR],Low stock [JUNIOR],Optimal stock [JUNIOR]
14850712,14850712,[PROMO 3+1] CONTINENTAL 265/60R18 CROSS CONTACT AX6 114H,TIRE #01 - CONTINENTAL,,N,,,,,,,15800.00,9021.0,9101364278980,,,Y,,,0.0,N,15800.00,0.0,,,N,15800.00,0.0,,,N,15800.00,0.0,,,N,15800.00,0.0,,,Y,15800.00,4.0,3.0,4.0,N,15800.00,0.0,,
32899936,32899936,[PROMO 3+1] CONTINENTAL 265/60R18 CROSS CONTACT LX2 114H,TIRE #01 - CONTINENTAL,,N,,,,,,,13800.00,7954.0,9260913362256,,,Y,,,0.0,N,13800.00,0.0,,,N,13800.00,0.0,,,N,13800.00,0.0,,,N,13800.00,0.0,,,Y,13800.00,4.0,3.0,4.0,N,13800.00,0.0,,
72450930,72450930,[PROMO 3+1] CONTINENTAL 265/65R17 CROSS CONTACT AX6 112H,TIRE #01 - CONTINENTAL,,N,,,,,,,14200.00,8245.0,1451778835001,,,Y,,,0.0,N,14200.00,0.0,,,N,14200.00,0.0,,,N,14200.00,0.0,,,N,14200.00,0.0,,,Y,14200.00,4.0,3.0,4.0,N,14200.00,0.0,,
88551820,88551820,[PROMO 3+1] CONTINENTAL 265/65R17 CROSS CONTACT LX2 112H,TIRE #01 - CONTINENTAL,,N,,,,,,,12500.00,7178.0,1796081918721,,,Y,,,0.0,N,12500.00,0.0,,,N,12500.00,0.0,,,N,12500.00,0.0,,,N,12500.00,0.0,,,Y,12500.00,4.0,3.0,4.0,N,12500.00,0.0,,
dunlop-235/60r17-sp-lt30a-1,14549527,[PROMO 3+1] DUNLOP 235/60R17 SP LT30A 109T,TIRE #01 - DUNLOP,,N,,,,,,,15000.00,7590.71,8824446521255,,,Y,,,0.0,N,15000.00,0.0,,,N,15000.00,0.0,,,N,15000.00,0.0,,,N,15000.00,0.0,,,Y,15000.00,8.0,4.0,4.0,N,15000.00,0.0,,
[promo-3+1]-dunlop-235/65r16c-sp-van01-115r,70407116,[PROMO 3+1] DUNLOP 235/65R16C SP VAN01 115R,TIRE #01 - DUNLOP,,N,,,,,,,11000.00,6042.19,5608975863344,,,Y,,,,N,11000.00,0.0,,,N,11000.00,0.0,,,N,11000.00,0.0,,,N,11000.00,0.0,,,Y,11000.00,4.0,3.0,4.0,N,11000.00,0.0,,
hankook-185/65r15-kinergy-eco2-82h,51955004,[PROMO 3+1] HANKOOK 185/55R15 KINERGY ECO2 82H,TIRE #01 - HANKOOK,"<p>4 pcs - 4,500 3+1/pc</p><p>1-3 pcs - 3,900/pc&nbsp;</p>",N,,,,,,,4500.00,2516.78,6332970665540,,,Y,,,0.0,N,4500.00,0.0,,,N,4500.00,0.0,,,N,4500.00,0.0,,,N,4500.00,0.0,,,Y,4500.00,0.0,4.0,8.0,N,4500.00,0.0,,
[promo-3+1]-hankook-185/70r14-kinergy-eco2-88t,54033611,[PROMO 3+1] HANKOOK 185/70R14 KINERGY ECO2 88T,TIRE #01 - HANKOOK,,N,,,,,,,3600.00,2358.98,6982205237013,,,Y,,,0.0,N,3600.00,0.0,,,N,3600.00,0.0,,,Y,3600.00,0.0,3.0,4.0,N,3600.00,0.0,,,N,3600.00,4.0,,,N,3600.00,0.0,,
[promo-3+1]-hankook-205/60r16-ventus-prime-4-92h-tl,72698312,[PROMO 3+1] HANKOOK 205/60R16 VENTUS PRIME 4 92H TL,TIRE #01 - HANKOOK,"<p>4 pcs - 5,700 3+1</p><p>1-3 pcs - 4,800 /pc</p>",N,,,,,,,5700.00,3331.15,2850528836395,,,Y,,,0.0,N,5700.00,0.0,,,N,5700.00,0.0,,,N,5700.00,0.0,,,N,5700.00,0.0,,,Y,5700.00,8.0,3.0,4.0,N,5700.00,0.0,,
hankook-205/65r16-ventus-prime-4-95v,88043056,[PROMO 3+1] HANKOOK 205/65R16 VENTUS PRIME 4 95V,TIRE #01 - HANKOOK,"<p>4 pcs - 6,500 3+1</p><p>1-3 pcs - &nbsp;5,500/pc</p>",N,,,,,,,6500.00,3624.83,4257345417246,,,Y,,,0.0,N,6500.00,0.0,,,N,6500.00,0.0,,,N,6500.00,0.0,,,N,6500.00,0.0,,,Y,6500.00,10.0,3.0,4.0,N,6500.00,0.0,,
